periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202512;P07104;596381;2546,000;30,428013510;3,525318788;M13;A1;4;1;N_O;sin_segundo_insumo;1,50;0,00;X;108,00
202512;P07104;592467;1600,000;28,692489780;0,476501988;M13;A1;4;1;N_T;sin_segundo_insumo;0,30;0,00;X;64,00
202512;P05372;591742;1625,000;33,410868840;2,095271158;M16;A1;1;2;B_T;N_T;1,00;1,00;Y;83,00
202512;P00351;595525;410,000;44,998869780;7,297123280;M08;A1;3;1;N_O;sin_segundo_insumo;0,50;0,00;X;26,00
202512;P08405;587948;2000,000;29,483389670;2,541343939;M16;A1;5;1;N_T;sin_segundo_insumo;2,00;0,00;Y;102,00
202512;P00066;584283;1400,000;34,301077280;1,216005583;M15;A1;3;2;B_T;N_T;0,50;0,50;Y;72,00
202512;P07913;593127;1046,000;51,010737410;12,247985200;M15;A1;5;1;R_T;sin_segundo_insumo;2,00;0,00;Y;80,00
202512;P05996;592474;1301,000;37,701876600;0,976688677;M17;A1;3;1;N_T;sin_segundo_insumo;0,50;0,00;Y;72,00
202512;P08074;596067;1058,000;58,723409060;8,640481956;M15;A1;5;2;A_T;R_T;1,50;1,00;X;86,00
202512;P08074;594078;1200,000;54,313834260;3,809012462;M15;A1;5;2;A_T;R_T;0,75;0,50;X;94,00
202512;P07131;592248;1060,000;14,054400770;1,198747140;M05;D4;5;1;N_T;sin_segundo_insumo;0,50;0,00;X;24,00
202512;P07786;591176;1500,000;50,223807120;1,694229292;M02;B2;6;1;N_T;sin_segundo_insumo;1,00;0,00;X;115,00
202512;P07286;585009;4800,000;22,916619400;5,345582314;M02;B2;5;1;B_T;sin_segundo_insumo;5,00;0,00;Y;196,00
202512;P05882;590208;7184,000;10,887074090;1,428663425;M05;D4;5;1;B_T;sin_segundo_insumo;2,00;0,00;X;126,00
202601;P06833;594279;12075,000;28,784440620;5,403080792;M17;A1;3;1;B_T;sin_segundo_insumo;12,50;0,00;Y;482,00
202601;P07899;596204;1575,000;61,420673320;17,180954800;M09;A1;7;2;B_T;N_T;5,50;5,00;Z;146,00
202601;P07878;596640;2800,000;30,386205390;3,451692665;M16;A1;5;2;B_T;A_T;2,50;0,75;X;136,00
202601;P07878;596642;3800,000;29,798237020;2,060280018;M16;A1;5;1;B_T;sin_segundo_insumo;3,00;0,00;X;181,00
202601;P07878;596645;4000,000;33,469879460;4,832369732;M14;A1;5;2;B_T;A_T;5,00;1,50;X;195,00
202601;P05953;600780;1681,000;31,340767500;1,511804841;M17;A1;3;1;N_T;sin_segundo_insumo;1,00;0,00;Y;83,00
